CACZAD010000010.1_cluster_1	GCF0000001
JADJDW010000012.1_cluster_1	GCF0000230
CP030041.1_cluster_2	GCF0000231
JACYTQ010000001.1_cluster_1	GCF0000232
BMWX01000003.1_cluster_1	GCF0000233
CACJQM010000002.1_cluster_1	GCF0000234
JABANE010000004.1_cluster_1	GCF0000235
RAWH01000031.1_cluster_2	GCF0000236
JADJWK010000001.1_cluster_2	GCF0000237
JAHZNV010000047.1_cluster_1	GCF0000238
JACCWG010000475.1_cluster_1	GCF0000239
QHVI01000014.1_cluster_1	GCF0000240
FVXM01000013.1_cluster_1	GCF0000241
VMSD01000008.1_cluster_2	GCF0000242
JADFZZ010000021.1_cluster_1	GCF0000243
JADGEH010000015.1_cluster_1	GCF0000244
CAIVXW010000424.1_cluster_1	GCF0000245
CP018889.2_cluster_1	GCF0000246
JAFMNM010000006.1_cluster_1	GCF0000247
JAFAOG010000040.1_cluster_1	GCF0000248
PVNL01000063.1_cluster_1	GCF0000249
DSQF01000030.1_cluster_1	GCF0000250
JADKKI010000022.1_cluster_1	GCF0000251
QMDO01000001.1_cluster_6	GCF0000252
RDBW01000039.1_cluster_1	GCF0000253
JABBPG010000003.1_cluster_2	GCF0000254
PNCL01000133.1_cluster_1	GCF0000255
ABCS01000005.1_cluster_1	GCF0000256
JMCC02000199.1_cluster_1	GCF0000257
JADGIA010000046.1_cluster_1	GCF0000258
AZUW01000041.1_cluster_1	GCF0000259
CAIJGL010000109.1_cluster_1	GCF0000260
CP003364.1_cluster_4	GCF0000261
DSVQ01000015.1_cluster_2	GCF0000262
CP002353.1_cluster_6	GCF0000263
JAFTDN010000022.1_cluster_1	GCF0000264
LMKM01000036.1_cluster_1	GCF0000265
QPCG01000001.1_cluster_1	GCF0000266
MWPX01000011.1_cluster_1	GCF0000267
JXKZ01000007.1_cluster_1	GCF0000268
JAFLWB010000022.1_cluster_1	GCF0000269
BOPG01000017.1_cluster_1	GCF0000270
BAWC01000020.1_cluster_1	GCF0000271
QSMZ01000020.1_cluster_1	GCF0000272
VKDB01000044.1_cluster_1	GCF0000273
WXZL01000017.1_cluster_1	GCF0000274
LMOM01000065.1_cluster_1	GCF0000275
BMLZ01000003.1_cluster_1	GCF0000276
BIXY01000005.1_cluster_1	GCF0000277
CP013345.1_cluster_2	GCF0000278
JABWGQ010000055.1_cluster_1	GCF0000279
VORW01000002.1_cluster_1	GCF0000280
DHXG01000056.1_cluster_1	GCF0000281
FOHO01000006.1_cluster_1	GCF0000282
VBJK01000091.1_cluster_1	GCF0000283
VBJK01000101.1_cluster_1	GCF0000284
CP035758.1_cluster_5	GCF0000285
JZWL01000002.1_cluster_1	GCF0000286
UGOC01000002.1_cluster_9	GCF0000287
CAAAIL010000003.1_cluster_1	GCF0000288
JACCWI010000019.1_cluster_1	GCF0000289
LR134178.1_cluster_7	GCF0000290
LR134374.1_cluster_1	GCF0000291
BGC0002190	GCF0000292
BGC0002267	GCF0000293
BGC0001405	GCF0000294
BGC0002255	GCF0000295
BGC0002438	GCF0000296
BGC0002223	GCF0000297
BGC0001340	GCF0000298
BGC0001436	GCF0000299
BGC0002262	GCF0000300
BGC0001913	GCF0000301
BGC0002209	GCF0000302
BGC0002734	GCF0000303
BGC0000027	GCF0000304
BGC0002196	GCF0000305
DMNE01000429.1_cluster_1	GCF0000306
VXPH01000023.1_cluster_1	GCF0000307
DEWY01000013.1_cluster_1	GCF0000308
JADJRG010000013.1_cluster_4	GCF0000309
JACCBY010000001.1_cluster_2	GCF0000310
MGLK01000003.1_cluster_1	GCF0000311
JACHOR010000003.1_cluster_3	GCF0000312
CAJGVD010000001.1_cluster_1	GCF0000313
CP080036.1_cluster_1	GCF0000314
JAATJM010000002.1_cluster_1	GCF0000315
PCPF01000001.1_cluster_1	GCF0000316
RQWJ01000002.1_cluster_1	GCF0000317
NCCM01000058.1_cluster_1	GCF0000318
JAIBBY010000015.1_cluster_1	GCF0000319
JH636434.1_cluster_1	GCF0000320
FOQU01000017.1_cluster_1	GCF0000321
QARX01000001.1_cluster_3	GCF0000322
VNFJ01000002.1_cluster_1	GCF0000323
DCLJ01000013.1_cluster_1	GCF0000324
JAGYHC010000001.1_cluster_1	GCF0000325
JAAAYE010000068.1_cluster_1	GCF0000326
JAHKQV010000044.1_cluster_1	GCF0000327
CP026100.1_cluster_3	GCF0000328
LMHD01000016.1_cluster_1	GCF0000329
JAGHZU010000003.1_cluster_1	GCF0000330
CP023314.2_cluster_1	GCF0000331
RRYI01000005.1_cluster_1	GCF0000332
JAAFIF010000010.1_cluster_1	GCF0000333
LNEO01000189.1_cluster_1	GCF0000334
SSMR01000001.1_cluster_2	GCF0000335
CP016211.1_cluster_37	GCF0000336
WJIE01000003.1_cluster_2	GCF0000337
JAFLCL010000040.1_cluster_1	GCF0000338
CAITIQ010000344.1_cluster_1	GCF0000339
JADJAJ010000053.1_cluster_1	GCF0000340
CP011542.1_cluster_5	GCF0000341
AUFX01000009.1_cluster_1	GCF0000342
SJDS01000005.1_cluster_1	GCF0000343
JAGXBY010000003.1_cluster_1	GCF0000344
ALKF01000188.1_cluster_1	GCF0000345
CMTS01000006.1_cluster_1	GCF0000346
CP035925.1_cluster_3	GCF0000347
CH672432.1_cluster_1	GCF0000348
BFAQ01000009.1_cluster_1	GCF0000349
LK391963.1_cluster_4	GCF0000350
QMEA01000129.1_cluster_1	GCF0000351
LT838813.1_cluster_6	GCF0000352
FNQC01000014.1_cluster_1	GCF0000353
DSQQ01000126.1_cluster_1	GCF0000354
BFBR01000004.1_cluster_1	GCF0000355
FKJI03000001.1_cluster_2	GCF0000356
JADKGW010000001.1_cluster_4	GCF0000357
JAFEAV010000009.1_cluster_1	GCF0000358
JAFEAW010000017.1_cluster_1	GCF0000359
JAIEOQ010000002.1_cluster_1	GCF0000360
JAHBVO010000001.1_cluster_3	GCF0000361
JADJWK010000002.1_cluster_1	GCF0000362
QKMZ01000005.1_cluster_2	GCF0000363
JAGVKG010000040.1_cluster_1	GCF0000364
JAIETZ010000004.1_cluster_1	GCF0000365
JAFKGK010000005.1_cluster_1	GCF0000366
JAGVJU010000078.1_cluster_1	GCF0000367
JAIERK010000097.1_cluster_1	GCF0000368
JAIETE010000102.1_cluster_1	GCF0000369
JADJYR010000014.1_cluster_1	GCF0000370
JAHDPQ010000113.1_cluster_1	GCF0000371
PGZO01000004.1_cluster_1	GCF0000372
JAFSRD010000008.1_cluster_1	GCF0000373
KE159567.1_cluster_1	GCF0000374
CP060591.1_cluster_1	GCF0000375
NBBL01000006.1_cluster_1	GCF0000376
CAITNS010000040.1_cluster_1	GCF0000377
JAHYJL010000038.1_cluster_1	GCF0000378
CAIYSA010000091.1_cluster_1	GCF0000379
JACPDY010000079.1_cluster_1	GCF0000380
BGC0001729	GCF0000381
BGC0001708	GCF0000382
BGC0001372	GCF0000383
BGC0000154	GCF0000384
BGC0001827	GCF0000385
BGC0002612	GCF0000386
BGC0001722	GCF0000387
BGC0002427	GCF0000388
BGC0002429	GCF0000389
BGC0002428	GCF0000390
BGC0002603	GCF0000391
BGC0002614	GCF0000392
BGC0002604	GCF0000393
BGC0001068	GCF0000394
BGC0000420	GCF0000395
BGC0001926	GCF0000396
BGC0002546	GCF0000397
BGC0000983	GCF0000398
BGC0002235	GCF0000399
BGC0002539	GCF0000400
BGC0002204	GCF0000401
BGC0001724	GCF0000402
BGC0001515	GCF0000403
BGC0001626	GCF0000404
BGC0001057	GCF0000405
BGC0000045	GCF0000406
BGC0002253	GCF0000407
BGC0002709	GCF0000408
BGC0001866	GCF0000409
BGC0001906	GCF0000410
BGC0002227	GCF0000411
JAITYB010000017.1_cluster_2	GCF0000412
BGC0002228	GCF0000413
BGC0002185	GCF0000414
BGC0000161	GCF0000415
BGC0000070	GCF0000416
JAITYC010000035.1_cluster_1	GCF0000417
BGC0002254	GCF0000418
BGC0000356	GCF0000419
BGC0002063	GCF0000420
BGC0001882	GCF0000421
BGC0001886	GCF0000422
BGC0000168	GCF0000423
BGC0001583	GCF0000424
BGC0002507	GCF0000425
BGC0000007	GCF0000426
BGC0002258	GCF0000427
BGC0000404	GCF0000428
BGC0001304	GCF0000429
FMVM01000002.1_cluster_1	GCF0000430
LILD02000025.1_cluster_1	GCF0000431
NZUT01000078.1_cluster_1	GCF0000432
PAQF01000031.1_cluster_1	GCF0000433
CP036292.1_cluster_10	GCF0000434
SJPN01000003.1_cluster_2	GCF0000435
BIFR01000001.1_cluster_1	GCF0000436
CP035758.1_cluster_34	GCF0000437
CP035758.1_cluster_30	GCF0000438
CP035758.1_cluster_33	GCF0000439
CAJXVS010000001.1_cluster_2	GCF0000440
CAJXXA010000003.1_cluster_2	GCF0000441
AP012211.1_cluster_1	GCF0000442
CP011402.1_cluster_1	GCF0000443
CP069061.1_cluster_6	GCF0000444
CP040121.1_cluster_1	GCF0000445
CP064939.1_cluster_2	GCF0000446
JAAZXM010000005.1_cluster_1	GCF0000447
JABSQV010000012.1_cluster_1	GCF0000448
LMRE01000045.1_cluster_1	GCF0000449
PUWX01000018.1_cluster_1	GCF0000450
BMNK01000021.1_cluster_2	GCF0000451
BGC0000628	GCF0000452
CADADA010000009.1_cluster_1	GCF0000453
JAGHGJ010000223.1_cluster_1	GCF0000454
CP060725.1_cluster_2	GCF0000455
JHQT01000120.1_cluster_1	GCF0000456
CADDZF010000140.1_cluster_1	GCF0000457
JAEPMA010000003.1_cluster_2	GCF0000458
DRJK01000179.1_cluster_1	GCF0000459
CAIJWZ010000163.1_cluster_1	GCF0000460
AUBC01000010.1_cluster_1	GCF0000461
JAESWB010000371.1_cluster_1	GCF0000462
VSSM01000004.1_cluster_1	GCF0000463
QSNT01000004.1_cluster_1	GCF0000464
JHXQ01000007.1_cluster_1	GCF0000465
CP016539.2_cluster_1	GCF0000466
LGRA01000008.1_cluster_1	GCF0000467
DYAQ01000033.1_cluster_1	GCF0000468
URLY01000027.1_cluster_1	GCF0000469
JODW01000013.1_cluster_1	GCF0000470
WWGK01000056.1_cluster_1	GCF0000471
CP012672.1_cluster_37	GCF0000472
QHZD01000019.1_cluster_1	GCF0000473
QHZD01000007.1_cluster_1	GCF0000474
PLCU01000149.1_cluster_1	GCF0000475
JABCYZ010000024.1_cluster_1	GCF0000476
FUKQ01000052.1_cluster_1	GCF0000477
MCIK01000003.1_cluster_1	GCF0000478
MCIO01000003.1_cluster_1	GCF0000479
NELQ01000002.1_cluster_6	GCF0000480
JADJOV010000014.1_cluster_1	GCF0000481
JACTMU010000017.1_cluster_1	GCF0000482
JACMNQ010000040.1_cluster_1	GCF0000483
JAHBUS010000002.1_cluster_1	GCF0000484
CAIMWN010000168.1_cluster_1	GCF0000485
JAFEAP010000012.1_cluster_2	GCF0000486
JACMNA010000073.1_cluster_1	GCF0000487
BOMD01000126.1_cluster_1	GCF0000488
LDWW01000010.1_cluster_1	GCF0000489
JAACDN010000789.1_cluster_1	GCF0000490
JAFAZH010000022.1_cluster_1	GCF0000491
CP002563.1_cluster_1	GCF0000492
PVTO01000055.1_cluster_1	GCF0000493
CABJNF010000020.1_cluster_1	GCF0000494
CDMF01000001.1_cluster_12	GCF0000495
VBVZ01000048.1_cluster_1	GCF0000496
JAFAIX010000003.1_cluster_1	GCF0000497
DJBA01000033.1_cluster_1	GCF0000498
JABRHK010000020.1_cluster_1	GCF0000499
JAFBEL010000001.1_cluster_1	GCF0000500
NISQ01000001.1_cluster_2	GCF0000501
JAAYEB010000081.1_cluster_1	GCF0000502
PLWQ01000012.1_cluster_1	GCF0000503
JAGE01000002.1_cluster_2	GCF0000504
CP001778.1_cluster_14	GCF0000505
CP001778.1_cluster_21	GCF0000506
KB235948.1_cluster_2	GCF0000507
LPXN01000105.1_cluster_1	GCF0000508
PZHT01000012.1_cluster_1	GCF0000509
CAIXXL010000089.1_cluster_1	GCF0000510
JAADYX010000188.1_cluster_1	GCF0000511
AKKK01000010.1_cluster_1	GCF0000512
JADJTD010000001.1_cluster_1	GCF0000513
JSWF01000014.1_cluster_1	GCF0000514
AEDD01000010.1_cluster_1	GCF0000515
AWQS01000346.1_cluster_1	GCF0000516
JADJTP010000001.1_cluster_1	GCF0000517
CP006003.1_cluster_4	GCF0000518
JAFIMU010000008.1_cluster_2	GCF0000519
RAWM01000051.1_cluster_1	GCF0000520
CP028923.1_cluster_3	GCF0000521
JABBNU010000006.1_cluster_1	GCF0000522
WYDW01000018.1_cluster_1	GCF0000523
JAEUMB010000026.1_cluster_1	GCF0000524
FOUX01000002.1_cluster_3	GCF0000525
CAIJXM010000146.1_cluster_1	GCF0000526
CAINEA010001074.1_cluster_1	GCF0000527
CAIXXC010000325.1_cluster_1	GCF0000528
CVJQ01000001.1_cluster_3	GCF0000529
AP018281.1_cluster_9	GCF0000530
CP001291.1_cluster_4	GCF0000531
BOKL01000001.1_cluster_1	GCF0000532
VYEF01000131.1_cluster_1	GCF0000533
AUCH01000004.1_cluster_1	GCF0000534
CADBXM010000001.1_cluster_1	GCF0000535
JAFYAQ010000011.1_cluster_1	GCF0000536
JAHDNU010000011.1_cluster_1	GCF0000537
JAEUJD010000181.1_cluster_1	GCF0000538
CP071793.1_cluster_16	GCF0000539
JAFREP010000003.1_cluster_5	GCF0000540
SMZP01000001.1_cluster_1	GCF0000541
QFPO01000015.1_cluster_1	GCF0000542
JAAHFP010000038.1_cluster_1	GCF0000543
LOXZ01000031.1_cluster_2	GCF0000544
CAIOHJ010000126.1_cluster_1	GCF0000545
QNEJ01000070.1_cluster_1	GCF0000546
JAGWYN010000017.1_cluster_1	GCF0000547
UHJL01000001.1_cluster_1	GCF0000548
AUXX01000045.1_cluster_2	GCF0000549
JACEQV010000005.1_cluster_1	GCF0000550
JAFLEI010000038.1_cluster_1	GCF0000551
CP060084.1_cluster_8	GCF0000552
VERD01000001.1_cluster_1	GCF0000553
QNUN01000004.1_cluster_1	GCF0000554
RKQC01000049.1_cluster_1	GCF0000555
ANHX01000052.1_cluster_1	GCF0000556
CP020038.1_cluster_3	GCF0000557
VTZU01000048.1_cluster_1	GCF0000558
SAUT01000145.1_cluster_1	GCF0000559
JAAHGM010000016.1_cluster_1	GCF0000560
NWUX01000007.1_cluster_1	GCF0000561
WBOM01000012.1_cluster_1	GCF0000562
KB907309.1_cluster_1	GCF0000563
BNAV01000008.1_cluster_1	GCF0000564
LMDC01000030.1_cluster_1	GCF0000565
JAHBZQ010000002.1_cluster_1	GCF0000566
QFOD01000025.1_cluster_1	GCF0000567
AP012320.1_cluster_1	GCF0000568
LMFP01000003.1_cluster_1	GCF0000569
LYVQ01000250.1_cluster_1	GCF0000570
JAIEPC010000043.1_cluster_1	GCF0000571
JADJAW010000024.1_cluster_1	GCF0000572
BCWC01000002.1_cluster_1	GCF0000573
JAEK01000008.1_cluster_1	GCF0000574
AMGM01000044.1_cluster_1	GCF0000575
PYGF01000014.1_cluster_1	GCF0000576
RPHB01000001.1_cluster_2	GCF0000577
CP041253.1_cluster_4	GCF0000578
QLLK01000002.1_cluster_1	GCF0000579
JAEUIJ010000057.1_cluster_1	GCF0000580
KI911471.1_cluster_6	GCF0000581
BGC0001816	GCF0000582
BGC0002736	GCF0000583
CP034836.1_cluster_8	GCF0000584
CP021425.1_cluster_8	GCF0000585
CAIYSU010000209.1_cluster_1	GCF0000586
QFZK01000002.1_cluster_1	GCF0000587
JAGZBP010000008.1_cluster_1	GCF0000588
WQOO01000002.1_cluster_1	GCF0000589
JAFZRN010000025.1_cluster_1	GCF0000590
UBKT01000007.1_cluster_1	GCF0000591
VXUC01000012.1_cluster_1	GCF0000592
VYFF01000084.1_cluster_1	GCF0000593
CP016211.1_cluster_11	GCF0000594
ML660089.1_cluster_2	GCF0000595
NUQH01000049.1_cluster_1	GCF0000596
VAUE01000040.1_cluster_1	GCF0000597
DDFC01000009.1_cluster_1	GCF0000598
BBFG01000186.1_cluster_1	GCF0000599
VAUV01000001.1_cluster_2	GCF0000600
CAINXC010000705.1_cluster_1	GCF0000601
DBQI01000025.1_cluster_1	GCF0000602
CP051247.1_cluster_6	GCF0000603
FWZT01000028.1_cluster_1	GCF0000604
CP036426.1_cluster_4	GCF0000605
CP069396.1_cluster_26	GCF0000606
BLIV01000008.1_cluster_1	GCF0000607
CP031841.1_cluster_1	GCF0000608
JABIUG010000272.1_cluster_1	GCF0000609
MPMV01000020.1_cluster_1	GCF0000610
DTMH01000040.1_cluster_1	GCF0000611
JABSQX010000162.1_cluster_1	GCF0000612
VYQA01000012.1_cluster_1	GCF0000613
BLAF01000012.1_cluster_1	GCF0000614
BOOK01000018.1_cluster_1	GCF0000615
CP013022.1_cluster_1	GCF0000616
CP016930.1_cluster_1	GCF0000617
JRXS01000004.1_cluster_1	GCF0000618
JRXS01000006.1_cluster_2	GCF0000619
JRXS01000007.1_cluster_1	GCF0000620
JAANOY010000028.1_cluster_1	GCF0000621
JAHRAK010000104.1_cluster_1	GCF0000622
VXYX01000041.1_cluster_1	GCF0000623
JAAXIB010000087.1_cluster_1	GCF0000624
VXSP01000040.1_cluster_1	GCF0000625
VXMR01000155.1_cluster_1	GCF0000626
SVCN01000015.1_cluster_1	GCF0000627
FXXI01000007.1_cluster_1	GCF0000628
VCDK01000005.1_cluster_1	GCF0000629
CP034472.1_cluster_1	GCF0000630
CAJXVA010000351.1_cluster_1	GCF0000631
CAJXTB010000016.1_cluster_2	GCF0000632
JADJCZ010000004.1_cluster_2	GCF0000633
REDH01000149.1_cluster_1	GCF0000634
NETK01000001.1_cluster_18	GCF0000635
CAIQEF010000050.1_cluster_1	GCF0000636
CP002547.1_cluster_2	GCF0000637
MCHF01000067.1_cluster_1	GCF0000638
CACZHJ010000012.1_cluster_1	GCF0000639
